line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L39,MTI,WPA,1000.0,640.1953429451632,64.01953429451632,8.62025911145243
N-L17,TKU,WKM,1000.0,631.414671283956,63.141467128395604,62.6172933890702
N-L128,ROS,HEP,600.0,370.306503724953,61.717750620825505,6.598760457343
S-L39,ISL,SBK,300.0,184.3350094059689,61.44500313532296,24.2915255289392
N-L53,HEN,BRB,1000.0,614.0525815214764,61.405258152147645,111.002308654412
N-L57,TKR,HAY,600.0,360.7556283179298,60.1259380529883,9.27010964216003
N-L96,ONG,HTI,600.0,359.7362156222776,59.95603593704627,54.9716712775975
N-L28,SFD,TMN,1000.0,598.5928786402989,59.85928786402989,99.9400447116017
S-L3,INV,TWI,1000.0,598.4283648552064,59.842836485520635,21.9249107102529
N-L108,EDG,WAI,600.0,353.2864012042594,58.88106686737656,32.1206093817246
N-L78,RDF,TUI,600.0,349.74791456780207,58.29131909463368,87.7020120594821
N-L14,HRP,TAB,1000.0,563.5110426395365,56.35110426395366,74.0791223090802
N-L13,HRP,WHI,1000.0,562.2783386395365,56.22783386395365,27.6323109307974
N-L129,HEP,HEN,600.0,322.20346580012,53.70057763335333,6.26627347605511
N-L109,EDG,KAW,600.0,320.4898882672394,53.414981377873225,13.6374721338803
N-L21,THI,PPI,1000.0,529.7464194235133,52.97464194235133,1.43687860173217
N-L61,HAY,PRM,1000.0,527.4743712435005,52.74743712435005,25.1078760062729
N-L29,TMN,TWH,1000.0,519.2832059843275,51.928320598432755,128.851898273214
N-L62,PRM,MHO,1000.0,515.5787366935649,51.55787366935649,53.4494204289346
N-L77,FHL,TUI,600.0,307.4970082733897,51.24950137889829,94.4274065246468
N-L40,HLY,BOB,1000.0,506.5823242354992,50.65823242354992,41.4691687713726
N-L127,PEN,ROS,600.0,301.85811204496196,50.309685340826995,8.12772396404804
N-L48,PEN,HOB,1000.0,494.6961075539125,49.46961075539125,7.91946208546861
