line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L50,WRD,ALB,1000.0,397.64031965495997,39.764031965495995,6.84953795057248
N-L37,WKM,HAM,1000.0,384.03225955847716,38.40322595584772,83.3285111255594
N-L130,WEL,HEN,600.0,223.73464667032363,37.28910777838727,62.5593994810789
N-L95,TMN,ONG,600.0,221.91986030255356,36.986643383758924,20.3157199790288
N-L96,ONG,HTI,600.0,218.8946206722393,36.48243677870655,54.9716712775975
S-L17,ROX,NSY,1000.0,363.6165391400055,36.361653914000556,78.1687641623564
N-L79,MTN,WGN,600.0,217.7575910032233,36.292931833870554,27.5379507329514
N-L73,BPE,MTR,600.0,211.4392706597488,35.23987844329147,69.4414496466749
N-L91,MTR,TNG,600.0,207.36446563324415,34.56074427220736,24.1067305826562
N-L71,BPE,MTN,600.0,205.65207982639026,34.275346637731715,30.9133345230392
N-L126,OTA,PEN,600.0,201.26103302205846,33.54350550367641,6.91947044006439
N-L107,TMI,EDG,600.0,199.96141947244672,33.326903245407784,46.9269385834415
S-L40,SBK,ASY,300.0,97.19511291910054,32.398370973033515,7.46749170908944
N-L97,HTI,ARI,600.0,191.21621129144344,31.869368548573906,45.2790226676566
N-L100,LFD,TRK,600.0,190.8218320965479,31.803638682757985,30.1243374261581
N-L40,HLY,BOB,1000.0,312.734441844232,31.273444184423198,41.4691687713726
N-L10,TNG,TKU,1000.0,312.38063647069714,31.238063647069716,56.4138455676308
N-L26,ATI,WKM,1000.0,302.0686720453723,30.20686720453723,19.5947488941592
N-L131,WEL,MTO,600.0,178.90692354031748,29.81782059005291,26.0154379400541
S-L29,BEN,AVI,1000.0,296.65338604323415,29.665338604323416,16.3868616792413
N-L54,WWD,CPK,600.0,175.00408034504002,29.16734672417334,9.12324065546938
N-L132,MTO,MPE,600.0,173.81544234134316,28.96924039022386,38.1546808942969
N-L129,HEP,HEN,600.0,173.53748591318507,28.92291431886418,6.26627347605511
N-L55,WWD,WIL,600.0,172.18832034504,28.698053390840002,9.25508945708612
N-L62,PRM,MHO,1000.0,283.62414686599203,28.3624146865992,53.4494204289346
S-L41,ASY,WPR,300.0,83.31861872316708,27.772872907722356,25.7966911119037
N-L43,BOB,GLN,1000.0,277.2720245964264,27.727202459642637,23.7711198976506
N-L41,BOB,TAK,1000.0,275.9463384403916,27.594633844039162,17.6577520064375
N-L7,BRK,SFD,1000.0,274.26542419496866,27.42654241949686,86.3730324501648
N-L32,MAT,EDG,1000.0,272.73795375524935,27.273795375524934,14.0850449213899
S-L66,TKB,BEN,1000.0,269.0034826461955,26.90034826461955,48.9954645620083
N-L104,TMI,KMO,600.0,159.77502975444784,26.629171625741304,17.277413487974
N-L72,WDV,DVK,600.0,158.56688264731517,26.42781377455253,20.349334390747
N-L5,TWC,BPE,1000.0,262.743762214097,26.2743762214097,13.9501594205303
N-L116,HAM,PAO,600.0,152.7529762168823,25.458829369480384,26.6981448099184
N-L70,BPE,MHO,600.0,150.64009364496656,25.10668227416109,36.6876123371481
