line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct
N-L16,RDF,WTU,1000.0,118.513188909427,11.8513188909427
N-L133,MPE,KOE,600.0,69.11162846580406,11.518604744300678
N-L108,EDG,WAI,600.0,68.52062651667052,11.420104419445085
N-L111,ARI,KPO,600.0,68.25743800593403,11.376239667655673
N-L119,WKO,KPU,600.0,64.46614713493531,10.744357855822551
S-L44,KBY,HOR,300.0,32.01353197781886,10.67117732593962
S-L57,KIK,STK,600.0,63.77952754790044,10.629921257983407
N-L120,HAM,HLY,600.0,61.76348448353398,10.293914080588996
S-L19,WTK,NSY,1000.0,99.82591881600929,9.982591881600928
S-L6,HWB,SDN,1000.0,98.76925988909426,9.876925988909425
S-L43,ISL,KBY,300.0,29.246129390018485,9.748709796672829
N-L114,KPO,TMU,600.0,57.84808576709796,9.64134762784966
S-L61,WPR,CUL,1000.0,92.66921789424549,9.266921789424549
N-L113,CBG,HAM,600.0,50.274904465101315,8.379150744183553
S-L11,BAL,BWK,600.0,49.89541846173728,8.315903076956213
S-L28,AVI,WTK,1000.0,80.86285638073754,8.086285638073754
S-L56,MCH,KIK,600.0,46.98244731977818,7.830407886629696
N-L19,WRK,ARA,1000.0,77.9922,7.79922
S-L4,INV,ROX,1000.0,76.9323661315201,7.69323661315201
S-L63,CUL,KIK,1000.0,76.53614284803477,7.653614284803477
S-L21,BPD,OAM,600.0,45.601502402957486,7.600250400492914
N-L102,TRK,OWH,600.0,44.67180858179503,7.445301430299171
N-L109,EDG,KAW,600.0,44.22678621667326,7.37113103611221
S-L64,KIK,STK,1000.0,63.77952754790044,6.377952754790045
N-L87,CST,HUI,600.0,37.23193046279202,6.20532174379867
N-L56,WIL,KWA,600.0,36.31526802218114,6.052544670363523
S-L65,INV,GOR,1000.0,56.91232852754292,5.6912328527542915
S-L58,STK,BLN,600.0,34.00319091123781,5.667198485206301
S-L7,INV,EDN,600.0,32.669234156321785,5.444872359386965
N-L39,MTI,WPA,1000.0,53.9946,5.3994599999999995
N-L35,TRK,KMO,1000.0,53.32290097512765,5.332290097512765
N-L21,THI,PPI,1000.0,52.25,5.225
S-L25,TIM,TMK,600.0,31.224239556377075,5.204039926062846
N-L89,MNI,MKE,600.0,30.802676840565297,5.133779473427549
N-L115,KPO,HIN,600.0,30.642643992606285,5.107107332101048
N-L78,RDF,TUI,600.0,29.178490353292364,4.863081725548728
S-L52,DOB,RFN,600.0,28.848242513863212,4.8080404189772015
S-L35,TWZ,ISL,1000.0,47.42066016399054,4.742066016399054
N-L103,OWH,TMI,600.0,27.664962001388375,4.610827000231396
S-L54,RFN,MCH,600.0,27.225833988602183,4.5376389981003635
N-L67,TKR,PNI,600.0,26.284811829944545,4.380801971657424
S-L46,COL,CLH,300.0,12.555297597042514,4.1850991990141715
N-L23,NAP,OKI,1000.0,41.8,4.18
S-L47,CLH,APS,300.0,11.8193449168207,3.939781638940233
S-L48,APS,OTI,300.0,11.612616635859517,3.8708722119531727
N-L77,FHL,TUI,600.0,23.168928662722177,3.861488110453696
S-L49,OTI,HKK,300.0,11.507874306839184,3.835958102279728
S-L8,EDN,BDE,600.0,22.856531753364298,3.80942195889405
S-L9,BDE,GOR,600.0,22.275605544607227,3.7126009241012046
S-L27,ABY,TKA,600.0,21.634719963031422,3.605786660505237
S-L26,TIM,ABY,600.0,20.526656377079483,3.4211093961799137
S-L55,ORO,MCH,600.0,19.873272295816534,3.3122120493027554
N-L83,SFD,KPA,600.0,19.87063863216266,3.311773105360443
S-L51,GYM,DOB,600.0,19.34149796672828,3.2235829944547136
N-L88,HUI,MNI,600.0,17.98276562520346,2.9971276042005766
N-L36,TRK,ATI,1000.0,27.780560959714816,2.7780560959714813
N-L53,HEN,BRB,1000.0,25.32559260628466,2.532559260628466
N-L84,KPA,OPK,600.0,10.173787800369684,1.6956313000616139
S-L53,RFN,ORO,600.0,7.808235732013159,1.3013726220021933
N-L110,KAW,MAT,600.0,6.161062597534595,1.026843766255766
N-L45,OTA,SWN,1000.0,7.370552310536044,0.7370552310536044
N-L34,KAW,MAT,1000.0,6.161062597534595,0.6161062597534596
S-L50,HKK,KUM,300.0,1.7944014787430684,0.5981338262476894
S-L24,BPT,BPD,600.0,0.6174284658040665,0.10290474430067775
