line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct,length_km
S-L28,AVI,WTK,1000.0,121.10144944636667,12.110144944636666,6.99198819640426
S-L19,WTK,NSY,1000.0,117.3592260150059,11.73592260150059,46.2422051148948
N-L58,MLG,HAY,600.0,69.81425187923598,11.63570864653933,7.85756690395563
N-L108,EDG,WAI,600.0,69.52085237002849,11.586808728338083,32.1206093817246
N-L52,ALB,SVL,1000.0,115.0410419716574,11.50410419716574,12.8614947325559
N-L33,EDG,TRK,1000.0,112.60767675022261,11.260767675022262,59.4021743041186
S-L44,KBY,HOR,300.0,32.78679788046827,10.928932626822757,13.7425853599801
N-L16,RDF,WTU,1000.0,107.03275356746764,10.703275356746763,7.93586670831229
N-L101,TRK,ROT,600.0,62.35350605052371,10.392251008420619,10.1608690527649
N-L133,MPE,KOE,600.0,61.52466518792359,10.254110864653931,54.5950672272588
S-L11,BAL,BWK,600.0,60.55130936737554,10.09188489456259,40.9016505853267
S-L43,ISL,KBY,300.0,30.20283662353666,10.067612207845553,34.4699100687903
N-L111,ARI,KPO,600.0,60.0257310446622,10.0042885074437,18.842375559488
N-L120,HAM,HLY,600.0,59.71595444740675,9.952659074567793,29.6524968959619
N-L119,WKO,KPU,600.0,58.22127733826248,9.703546223043746,29.234827656905
S-L65,INV,GOR,1000.0,94.83146155392684,9.483146155392683,50.4143388834791
S-L57,KIK,STK,600.0,56.438103001176486,9.406350500196082,50.3182026447766
S-L4,INV,ROX,1000.0,89.23356370442775,8.923356370442775,124.450661177984
S-L6,HWB,SDN,1000.0,89.20142940234133,8.920142940234134,4.68824260718601
N-L114,KPO,TMU,600.0,52.24431107825014,8.707385179708357,20.9216097572617
S-L61,WPR,CUL,1000.0,82.25867974999775,8.225867974999776,38.3279262262021
N-L19,WRK,ARA,1000.0,77.9922,7.79922,3.44180024734283
S-L7,INV,EDN,600.0,44.52630707513617,7.421051179189361,30.9064436254703
N-L109,EDG,KAW,600.0,42.81967514477483,7.136612524129138,13.6374721338803
S-L56,MCH,KIK,600.0,42.43123277880467,7.071872129800778,46.3809025386117
S-L21,BPD,OAM,600.0,41.184060727048674,6.864010121174779,20.1525576468041
S-L63,CUL,KIK,1000.0,67.68842422319554,6.768842422319555,116.249039253447
N-L102,TRK,OWH,600.0,40.46104937586696,6.7435082293111615,15.6216728391434
N-L113,CBG,HAM,600.0,39.12476011056808,6.5207933517613474,18.7488549653149
S-L58,STK,BLN,600.0,38.00540506553254,6.334234177588757,61.0140464327686
N-L87,CST,HUI,600.0,36.838257844742785,6.139709640790464,13.6025601653621
S-L8,EDN,BDE,600.0,35.66499385156112,5.944165641926853,10.8320556104901
S-L64,KIK,STK,1000.0,56.43810300117648,5.643810300117648,50.3182026447766
N-L56,WIL,KWA,600.0,32.7973887861984,5.466231464366399,2.42227147235758
N-L39,MTI,WPA,1000.0,53.9946,5.3994599999999995,8.62025911145243
N-L21,THI,PPI,1000.0,52.25,5.225,1.43687860173217
N-L35,TRK,KMO,1000.0,48.70495271951026,4.870495271951026,37.1563042852716
S-L25,TIM,TMK,600.0,28.1995309426987,4.699921823783117,17.286354792236
N-L89,MNI,MKE,600.0,28.001172054811747,4.666862009135291,11.2927120407318
N-L115,KPO,HIN,600.0,27.674274849044977,4.612379141507496,19.9969502080211
S-L52,DOB,RFN,600.0,26.053697991373994,4.342282998562332,60.9204555513398
S-L9,BDE,GOR,600.0,25.2138105132138,4.202301752202301,13.301349738739
N-L103,OWH,TMI,600.0,25.1066437566433,4.184440626107217,34.8411215430613
N-L23,NAP,OKI,1000.0,41.8,4.18,13.7100277067352
S-L54,RFN,MCH,600.0,24.588453038740628,4.098075506456771,52.1068874838519
S-L35,TWZ,ISL,1000.0,40.83071442648032,4.083071442648032,210.067008316686
N-L67,TKR,PNI,600.0,23.738588194701165,3.9564313657835277,6.61511796930028
N-L78,RDF,TUI,600.0,23.379191956522668,3.8965319927537783,87.7020120594821
N-L77,FHL,TUI,600.0,22.775931109531832,3.7959885182553057,94.4274065246468
S-L46,COL,CLH,300.0,11.339059272951324,3.779686424317108,23.4308193825237
S-L27,ABY,TKA,600.0,21.96047424522489,3.6600790408708153,37.286354792236
S-L47,CLH,APS,300.0,10.674398718422673,3.558132906140891,32.1542242751224
S-L48,APS,OTI,300.0,10.487696315465186,3.4958987718217287,13.0490098963713
S-L26,TIM,ABY,600.0,20.959749365372765,3.493291560895461,37.286354792236
S-L49,OTI,HKK,300.0,10.39310043130006,3.464366810433353,48.9525350335949
N-L83,SFD,KPA,600.0,20.44694009858287,3.4078233497638117,18.1032159402671
N-L88,HUI,MNI,600.0,18.87064430106081,3.145107383510135,7.06160903057638
S-L55,ORO,MCH,600.0,17.948137889049047,2.991356314841508,58.3887217703109
S-L51,GYM,DOB,600.0,17.4678768207024,2.9113128034504,7.09904623489572
N-L53,HEN,BRB,1000.0,22.872289044978437,2.287228904497844,111.002308654412
N-L36,TRK,ATI,1000.0,22.02714144404939,2.202714144404939,37.4317709664017
N-L84,KPA,OPK,600.0,9.188247590881083,1.5313745984801805,19.5223674730092
S-L53,RFN,ORO,600.0,7.051847803538276,1.1753079672563793,39.535187622779
N-L110,KAW,MAT,600.0,5.883618794696606,0.9806031324494343,9.04426114629899
N-L45,OTA,SWN,1000.0,6.656563006777572,0.6656563006777572,5.06872074556121
N-L34,KAW,MAT,1000.0,5.883618794696606,0.5883618794696606,9.04426114629899
S-L50,HKK,KUM,300.0,1.6205768576709796,0.5401922858903265,20.0145624191455
S-L24,BPT,BPD,600.0,0.5576178434996919,0.09293630724994864,17.0135925222243
