name,site,zone,island,volts,X,Y,long,lat
Stoke,STK,USI,SI,33.0,1620352,5426224,173.243155,-41.315193
Stratford,SFD,LNI,NI,33.0,1713803,5645287,174.320462,-39.334358
Studholme,STU,LSI,SI,11.0,1452515,5045102,171.137383,-44.732277
Takanini,TAK,UNI,NI,33.0,1771969,5899052,174.933642,-37.039008
Takapu Road,TKR,LNI,NI,33.0,1757034,5442090,174.871608,-41.157323
Tangiwai,TNG,CNI,NI,55.0,1821309,5628416,175.572546,-39.465403
Tararua Wind Central,TWC,LNI,NI,220.0,1835528,5529247,175.773446,-40.354101
Tarukenga,TRK,CNI,NI,11.0,1877163,5781277,176.159634,-38.073838
Tauhara,TAB,CNI,NI,33.0,1875286,5715613,176.16392,-38.665302
Taumarunui,TMN,CNI,NI,55.0,1801812,5692949,175.326852,-38.889167
Tauranga,TGA,CNI,NI,11.0,1875930,5819778,176.13087,-37.727725
Te Awamutu,TMU,CNI,NI,11.0,1803713,5791407,175.320177,-38.002142
Te Kowhai,TWH,CNI,NI,33.0,1787090,5822055,175.123038,-37.729682
Te Matai,TMI,CNI,NI,33.0,1893974,5809246,176.339563,-37.816879
Te Mihi,THI,CNI,NI,220.0,1865365,5721247,176.047895,-38.617623
Tekapo A,TKA,LSI,SI,11.0,1396466,5123456,170.46079,-44.013833
Tekapo B,TKB,LSI,SI,220.0,1376920,5110450,170.211725,-44.125116
Temuka,TMK,LSI,SI,33.0,1463595,5101870,171.29222,-44.223635
Timaru,TIM,LSI,SI,11.0,1459043,5085216,171.23076,-44.372634
Tiwai,TWI,LSI,SI,220.0,1247070,4830103,168.392618,-46.589763
Tokaanu,TKU,CNI,NI,33.0,1839960,5681601,175.770224,-38.981721
Tuai,TUI,CNI,NI,110.0,1960528,5696630,177.151399,-38.805354
Twizel,TWZ,LSI,SI,33.0,1368615,5093100,170.100402,-44.278542
Upper Hutt,UHT,LNI,NI,33.0,1775872,5448080,175.094276,-41.099536
Waihou,WHU,CNI,NI,33.0,1836968,5838595,175.68316,-37.569217
Waikino,WKO,CNI,NI,33.0,1845570,5855375,175.774857,-37.415893
Waiotahe,WAI,CNI,NI,11.0,1968014,5783096,177.192153,-38.025121
Waipapa,WPA,CNI,NI,220.0,1834679,5758417,175.683396,-38.291661
Waipara,WPR,USI,SI,33.0,1580144,5233394,172.756188,-43.05189
Waipawa,WPW,LNI,NI,33.0,1894619,5575573,176.447045,-39.918722
Wairakei,WRK,CNI,NI,33.0,1870315,5720165,176.105091,-38.625869
Wairau Road,WRD,UNI,NI,33.0,1755880,5928071,174.746842,-36.780347
Waitaki,WTK,LSI,SI,11.0,1396274,5048061,170.4289,-44.69188
Waverley,WVY,LNI,NI,11.0,1740108,5598255,174.635491,-39.754107
Wellsford,WEL,UNI,NI,33.0,1735913,5983404,174.513413,-36.284763
West Wind,WWD,LNI,NI,110.0,1740614,5429842,174.678806,-41.270618
Whakamaru,WKM,CNI,NI,220.0,1844482,5743971,175.800374,-38.419082
Whakatu,WTU,CNI,NI,33.0,1933253,5608737,176.881339,-39.606292
Whanganui,WGN,LNI,NI,33.0,1781062,5576956,175.119169,-39.938163
Whirinaki,WHI,CNI,NI,11.0,1934795,5633613,176.886767,-39.382062
Wilton,WIL,LNI,NI,33.0,1747404,5431048,174.759548,-41.258549
Wiri,WIR,UNI,NI,33.0,1767719,5904819,174.884595,-36.987819
Woodville,WDV,LNI,NI,11.0,1842686,5533308,175.856093,-40.31551
